trials,target,flanker,type,correct,congruency
68,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
69,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
70,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
71,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
72,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
73,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
74,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
75,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
76,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
77,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
78,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
79,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
80,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
81,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
82,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
83,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
84,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
85,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
86,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
87,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
88,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
89,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
90,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
91,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
92,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,q,c
93,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
94,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
95,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
96,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
97,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
98,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
99,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
100,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
101,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
102,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,p,c
103,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,exp,p,i
104,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
105,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_HC.bmp,\RADIATE_BMP\RADIATE_450_COLOR_BMP\_RADIATE_COLOR_5\WM09\WM09_AC.bmp,exp,q,i
